iter	MAE	RMSE
0	9.016022549	10.38266257
1	8.928917725	10.28391168
2	8.841663969	10.18575382
3	8.757041294	10.09019154
4	8.672916392	9.995254063
5	8.58792496	9.899438184
6	8.506993894	9.807796365
7	8.426533693	9.717153781
8	8.34566999	9.625648048
9	8.264069385	9.534956473
10	8.184385952	9.444203978
11	8.105451503	9.354638145
12	8.026746014	9.265645616
13	7.947752244	9.176637874
14	7.871684758	9.090287601
15	7.796689973	9.005016049
16	7.721325903	8.919776171
17	7.645652483	8.835262812
18	7.570529037	8.750524576
19	7.496405399	8.66734935
20	7.4248201	8.587020811
21	7.353228394	8.505370679
22	7.281595308	8.424761876
23	7.210062419	8.344526895
24	7.142373808	8.265951604
25	7.07203145	8.187316287
26	7.005148157	8.110341355
27	6.937585256	8.033570243
28	6.870286382	7.957668297
29	6.802999032	7.88130713
30	6.737034068	7.80695105
31	6.67272897	7.734082432
32	6.609002103	7.662692239
33	6.546877629	7.590030858
34	6.484560778	7.518899403
35	6.422577339	7.447555972
36	6.361073926	7.377537057
37	6.299395363	7.308242447
38	6.238759593	7.239475701
39	6.177708562	7.170531959
40	6.119119038	7.10265235
41	6.060691608	7.036380713
42	6.001839357	6.970235437
43	5.945603294	6.904573205
44	5.887476366	6.839191307
45	5.830159173	6.774863738
46	5.77387498	6.710778712
47	5.718573803	6.647601808
48	5.66415463	6.586304295
49	5.609473123	6.524563149
50	5.555229488	6.463434477
51	5.503232946	6.402653776
52	5.450708446	6.342624891
53	5.398129983	6.284550945
54	5.345462548	6.225631543
55	5.29437598	6.168173707
56	5.243380673	6.110248104
57	5.192848589	6.052975318
58	5.144160446	5.998801113
59	5.094415375	5.942610954
60	5.045921436	5.888483537
61	4.997921798	5.833423845
62	4.951296827	5.779783121
63	4.904638039	5.726279434
64	4.857555728	5.673268603
65	4.811107581	5.619890633
66	4.765226434	5.567432857
67	4.719564669	5.515969469
68	4.675579358	5.46471945
69	4.631158763	5.413749216
70	4.587002294	5.363218441
71	4.543513742	5.31378392
72	4.500647154	5.264390064
73	4.457235404	5.215539378
74	4.415055678	5.167160582
75	4.372488821	5.119062228
76	4.33045756	5.070855918
77	4.28900409	5.024645591
78	4.248499231	4.978713942
79	4.207676509	4.932057936
80	4.167444015	4.887695518
81	4.127569186	4.84185853
82	4.088491465	4.79700369
83	4.049573317	4.751997563
84	4.010798267	4.708142217
85	3.971776162	4.664310386
86	3.934076921	4.62097448
87	3.897366693	4.578047369
88	3.860344294	4.536302021
89	3.823516412	4.49415433
90	3.78713693	4.45323272
91	3.750929321	4.411880673
92	3.715323285	4.370660568
93	3.679560394	4.330471147
94	3.643997355	4.289990704
95	3.610025135	4.250118144
96	3.575686632	4.211182789
97	3.541879348	4.171905528
98	3.507782703	4.132993747
99	3.473842777	4.09441329
100	3.440768701	4.056417669
101	3.408800527	4.019890309
102	3.376567549	3.98292759
103	3.34477987	3.945889892
104	3.312768654	3.909324794
105	3.281821326	3.873697801
106	3.250931247	3.837941666
107	3.219701169	3.801949842
108	3.18943347	3.767122995
109	3.158800763	3.731993248
110	3.128659819	3.697531732
111	3.098593884	3.663884168
112	3.069315874	3.630027345
113	3.040429358	3.597474233
114	3.012360461	3.565471568
115	2.984083956	3.533150174
116	2.955838185	3.501017775
117	2.927576926	3.468671881
118	2.900516988	3.437531919
119	2.873439315	3.406094042
120	2.845727304	3.37435052
121	2.818886038	3.343776984
122	2.792702328	3.313873717
123	2.766416722	3.284054549
124	2.739918454	3.253485108
125	2.714646754	3.22418317
126	2.689298081	3.194849572
127	2.664578975	3.166542442
128	2.638931374	3.137326765
129	2.614180877	3.10872482
130	2.589636613	3.081304967
131	2.565518238	3.053732868
132	2.542362647	3.026994206
133	2.51843398	2.999912192
134	2.494964156	2.9727896
135	2.471055491	2.94555112
136	2.448124892	2.919222398
137	2.425218963	2.893149025
138	2.402113853	2.866709594
139	2.379734357	2.841317096
140	2.357526207	2.815681394
141	2.335255535	2.790303654
142	2.313112358	2.765209129
143	2.292242711	2.74057708
144	2.270583439	2.715653969
145	2.2497889	2.691451319
146	2.228758019	2.667469107
147	2.208088072	2.643390675
148	2.187749212	2.619766544
149	2.16715645	2.596386851
150	2.146842183	2.5728903
151	2.126965252	2.549946837
152	2.107164662	2.527102487
153	2.087550651	2.504458028
154	2.068507012	2.482286524
155	2.049335117	2.460120634
156	2.030328229	2.438869736
157	2.011605207	2.4174384
158	1.992641662	2.395552829
159	1.974326032	2.374707349
160	1.956249989	2.354001546
161	1.938011321	2.333078244
162	1.92004593	2.312687668
163	1.902999276	2.292678916
164	1.885389803	2.272771008
165	1.867725821	2.252651811
166	1.850315785	2.232832676
167	1.833351214	2.213391278
168	1.816471075	2.193985616
169	1.799522993	2.174794327
170	1.783105543	2.155714204
171	1.766806553	2.136803078
172	1.750978349	2.118648498
173	1.73495999	2.100491932
174	1.719150435	2.082226307
175	1.703838774	2.064682132
176	1.688202476	2.047029602
177	1.673303936	2.029460867
178	1.658322712	2.011895613
179	1.643227213	1.994643687
180	1.628355592	1.977425942
181	1.613541011	1.960629442
182	1.598885876	1.94413382
183	1.584488246	1.927554649
184	1.570090113	1.911061436
185	1.555845066	1.894733866
186	1.541661242	1.878722305
187	1.527648665	1.862666652
188	1.513877942	1.846939397
189	1.500252469	1.831113653
190	1.486872752	1.815685245
191	1.473385276	1.800189097
192	1.460397468	1.785115505
193	1.4471548	1.770004724
194	1.434420575	1.755113297
195	1.421592026	1.740280667
196	1.40936513	1.725852884
197	1.39692813	1.711290268
198	1.38471032	1.697383948
199	1.372723277	1.683153093
200	1.360391284	1.669029339
201	1.348808535	1.655409162
202	1.337328921	1.641796743
203	1.325591198	1.62830439
204	1.314190425	1.615058564
205	1.302689146	1.601680589
206	1.291139196	1.588373259
207	1.280005903	1.575290072
208	1.268989661	1.56259625
209	1.258213288	1.549939241
210	1.24762794	1.537926672
211	1.237138158	1.52585489
212	1.226461108	1.513720154
213	1.215986199	1.501644526
214	1.205413121	1.489422971
215	1.195013386	1.477343899
216	1.184851803	1.465747232
217	1.174907677	1.454259616
