iter	Passed	Remaining
0	28	56289
1	55	55501
2	81	54223
3	110	55126
4	136	54362
5	163	54304
6	191	54522
7	220	54843
8	252	55951
9	282	56224
10	310	56114
11	336	55681
12	362	55387
13	386	54896
14	412	54583
15	436	54100
16	461	53836
17	490	53995
18	518	54022
19	545	54027
20	575	54233
21	603	54241
22	631	54292
23	657	54166
24	685	54115
25	714	54236
26	741	54170
27	768	54134
28	796	54115
29	822	54026
30	847	53852
31	873	53693
32	898	53554
33	926	53569
34	953	53543
35	978	53409
36	1004	53307
37	1031	53274
38	1057	53189
39	1085	53194
40	1114	53251
41	1145	53394
42	1172	53377
43	1201	53402
44	1228	53353
45	1259	53496
46	1289	53588
47	1316	53549
48	1345	53591
49	1372	53536
50	1396	53352
51	1420	53211
52	1444	53064
53	1468	52924
54	1492	52775
55	1518	52709
56	1544	52653
57	1574	52723
58	1603	52757
59	1634	52864
60	1638	52090
61	1667	52135
62	1698	52211
63	1727	52245
64	1753	52212
65	1777	52086
66	1805	52075
67	1832	52051
68	1858	52011
69	1884	51960
70	1913	51990
71	1941	51978
72	1968	51956
73	1995	51930
74	2019	51839
75	2044	51756
76	2070	51697
77	2094	51621
78	2120	51553
79	2144	51474
80	2169	51405
81	2195	51356
82	2220	51290
83	2245	51215
84	2270	51162
85	2296	51117
86	2321	51045
87	2346	50979
88	2371	50913
89	2395	50834
90	2419	50749
91	2442	50662
92	2467	50587
93	2493	50553
94	2519	50525
95	2545	50481
96	2569	50415
97	2593	50329
98	2616	50249
99	2642	50212
100	2667	50157
101	2695	50152
102	2722	50147
103	2747	50086
104	2770	50007
105	2793	49914
106	2815	49818
107	2840	49762
108	2863	49681
109	2887	49607
110	2911	49551
111	2936	49506
112	2960	49434
113	2984	49377
114	3009	49334
115	3035	49294
116	3060	49255
117	3084	49194
118	3108	49128
119	3133	49085
120	3160	49071
121	3186	49047
122	3209	48978
123	3233	48918
124	3258	48874
125	3283	48835
126	3307	48775
127	3330	48713
128	3357	48689
129	3380	48620
130	3402	48538
131	3426	48483
132	3450	48435
133	3475	48395
134	3499	48345
135	3523	48295
136	3549	48273
137	3575	48237
138	3600	48209
139	3627	48190
140	3654	48179
141	3680	48156
