,date,y_change,KODEX_return,PER,PBR,Dividend_Yield,Kosdaq150_return,S&P500_return,WTI_change,WTI_Volume,T10Y2Y,T10Y3M,VIX
0,2021-01-05,0.0,113.0,30.68,1.2,1.42,0.0,28.840000000000146,2.549999999999997,643.19,0.83,0.87,-1.6000000000000014
1,2021-01-06,0.0,433.0,30.45,1.2,1.43,88.0,35.940000000000055,0.8100000000000023,509.37,0.9,0.95,-0.4100000000000001
2,2021-01-07,0.0,514.0,31.11,1.22,1.4,93.0,39.07999999999993,0.2999999999999971,369.29,0.94,0.99,-1.3000000000000007
3,2021-01-08,0.0,429.0,32.35,1.27,1.35,73.0,9.629999999999654,1.3100000000000025,499.42,0.99,1.05,-0.870000000000001
4,2021-01-11,0.0,-212.0,32.31,1.27,1.35,-59.0,-3.5299999999997453,-0.3299999999999983,394.82,1.01,1.07,0.7699999999999996
5,2021-01-12,0.0,42.0,32.08,1.26,1.36,9.0,-0.4299999999998363,1.0300000000000011,400.2,1.01,1.06,-0.1600000000000001
6,2021-01-13,0.0,-207.0,32.31,1.27,1.35,-64.0,7.610000000000127,-0.4000000000000057,429.9,0.96,1.01,-0.8599999999999994
7,2021-01-14,0.0,217.0,32.33,1.27,1.35,0.0,-19.44000000000005,0.7299999999999969,390.09,0.99,1.06,1.0300000000000011
8,2021-01-15,0.0,-429.0,31.67,1.24,1.38,-137.0,-20.480000000000015,-1.4399999999999975,165.67,0.98,1.02,0.8200000000000003
9,2021-01-19,0.0,711.0,31.76,1.25,1.37,79.0,17.029999999999745,0.9799999999999968,125.96,0.96,1.01,0.2099999999999973
10,2021-01-20,0.0,376.0,31.99,1.26,1.36,137.0,35.63000000000011,0.1099999999999994,37.84,0.97,1.02,-1.240000000000002
11,2021-01-21,0.0,137.0,32.47,1.27,1.34,0.0,-4.389999999999873,0.2000000000000028,352.4,0.99,1.03,-0.0199999999999995
12,2021-01-22,0.0,169.0,32.26,1.27,1.35,39.0,-2.769999999999982,-0.8299999999999983,437.48,0.97,1.02,-0.3299999999999983
13,2021-01-25,0.0,-95.0,33.02,1.3,1.32,-14.0,3.680000000000291,0.6000000000000014,349.08,0.92,0.96,0.8800000000000026
14,2021-01-26,0.0,296.0,32.28,1.27,1.35,73.0,-13.340000000000146,-0.2999999999999971,314.54,0.94,0.98,-0.8900000000000006
15,2021-01-27,0.0,-665.0,32.1,1.26,1.36,-240.0,-86.05999999999995,0.0900000000000034,442.38,0.92,0.96,13.39
16,2021-01-28,0.0,457.0,31.55,1.24,1.38,20.0,31.63000000000011,-0.3099999999999951,411.41,0.95,1.0,-3.039999999999999
17,2021-01-29,0.0,-118.0,30.59,1.2,1.43,0.0,-63.8100000000004,0.0500000000000042,410.91,1.0,1.05,-2.069999999999993
18,2021-02-01,0.0,424.0,31.42,1.23,1.39,54.0,42.690000000000055,1.5599999999999952,416.07,0.98,1.02,-1.2100000000000009
19,2021-02-02,0.0,330.0,31.84,1.25,1.37,79.0,34.4699999999998,1.2800000000000011,463.72,1.01,1.05,-2.450000000000003
20,2021-02-03,0.0,-95.0,32.18,1.26,1.36,-59.0,-10.099999999999907,0.6400000000000006,448.69,1.04,1.11,-1.6799999999999995
21,2021-02-04,0.0,235.0,31.74,1.25,1.37,35.0,35.07999999999993,0.269999999999996,381.4,1.04,1.11,-1.6700000000000017
22,2021-02-05,0.0,-43.0,32.08,1.26,1.36,-25.0,8.529999999999745,0.3900000000000005,400.83,1.1,1.16,-1.1199999999999974
23,2021-02-08,0.0,287.0,31.78,1.25,1.37,34.0,23.0,0.9099999999999966,399.72,1.08,1.14,-0.6500000000000021
24,2021-02-09,0.0,132.0,31.71,1.25,1.38,-14.0,0.7400000000002365,0.25,514.7,1.07,1.14,0.0599999999999987
